id,name,age,grade
1,Student_1,13,80
2,Student_2,18,18
3,Student_3,16,78
4,Student_4,15,60
5,Student_5,11,45
6,Student_6,11,10
7,Student_7,10,46
8,Student_8,17,33
9,Student_9,15,14
10,Student_10,16,65
11,Student_11,10,5
12,Student_12,18,72
13,Student_13,17,94
14,Student_14,11,0
15,Student_15,11,100
16,Student_16,11,62
17,Student_17,12,61
18,Student_18,14,0
19,Student_19,13,2
20,Student_20,12,53
21,Student_21,15,40
22,Student_22,11,4
23,Student_23,12,98
24,Student_24,13,23
25,Student_25,14,9
26,Student_26,17,62
27,Student_27,11,38
28,Student_28,14,99
29,Student_29,15,47
30,Student_30,10,86
31,Student_31,15,68
32,Student_32,11,45
33,Student_33,10,1
34,Student_34,18,95
35,Student_35,18,56
36,Student_36,17,38
37,Student_37,12,1
38,Student_38,10,23
39,Student_39,16,24
40,Student_40,13,69
41,Student_41,11,61
42,Student_42,14,84
43,Student_43,10,17
44,Student_44,18,39
45,Student_45,12,18
46,Student_46,15,76
47,Student_47,12,42
48,Student_48,14,21
49,Student_49,14,57
50,Student_50,11,3
51,Student_51,18,85
52,Student_52,16,45
53,Student_53,18,39
54,Student_54,18,93
55,Student_55,15,73
56,Student_56,18,32
57,Student_57,10,57
58,Student_58,11,52
59,Student_59,10,97
60,Student_60,12,85
61,Student_61,13,75
62,Student_62,12,54
63,Student_63,17,59
64,Student_64,13,97
65,Student_65,12,61
66,Student_66,14,27
67,Student_67,11,29
68,Student_68,17,16
69,Student_69,10,1
70,Student_70,18,42
71,Student_71,16,39
72,Student_72,11,29
73,Student_73,10,1
74,Student_74,17,20
75,Student_75,16,71
76,Student_76,16,79
77,Student_77,16,61
78,Student_78,10,93
79,Student_79,13,65
80,Student_80,11,92
81,Student_81,17,85
82,Student_82,15,45
83,Student_83,12,9
84,Student_84,10,37
85,Student_85,12,67
86,Student_86,12,67
87,Student_87,16,59
88,Student_88,15,27
89,Student_89,17,56
90,Student_90,14,38
91,Student_91,11,98
92,Student_92,16,85
93,Student_93,16,72
94,Student_94,15,23
95,Student_95,16,25
96,Student_96,14,4
97,Student_97,14,71
98,Student_98,13,11
99,Student_99,10,44
100,Student_100,10,20
101,Student_101,10,90
102,Student_102,15,48
103,Student_103,12,56
104,Student_104,14,70
105,Student_105,18,14
106,Student_106,12,61
107,Student_107,13,54
108,Student_108,16,20
109,Student_109,12,95
110,Student_110,10,60
111,Student_111,12,70
112,Student_112,11,88
113,Student_113,18,63
114,Student_114,17,29
115,Student_115,15,10
116,Student_116,17,46
117,Student_117,17,22
118,Student_118,11,42
119,Student_119,18,89
120,Student_120,14,32
121,Student_121,17,12
122,Student_122,18,35
123,Student_123,12,91
124,Student_124,10,27
125,Student_125,12,65
126,Student_126,13,0
127,Student_127,17,35
128,Student_128,17,30
129,Student_129,10,16
130,Student_130,14,53
131,Student_131,13,48
132,Student_132,11,69
133,Student_133,11,27
134,Student_134,13,24
135,Student_135,18,16
136,Student_136,12,22
137,Student_137,14,56
138,Student_138,16,40
139,Student_139,13,6
140,Student_140,18,25
141,Student_141,18,24
142,Student_142,12,70
143,Student_143,14,71
144,Student_144,12,14
145,Student_145,12,100
146,Student_146,10,26
147,Student_147,15,98
148,Student_148,14,41
149,Student_149,10,3
150,Student_150,12,34
151,Student_151,18,64
152,Student_152,12,68
153,Student_153,11,53
154,Student_154,14,45
155,Student_155,18,55
156,Student_156,12,59
157,Student_157,16,8
158,Student_158,16,37
159,Student_159,12,24
